'ESTUN AI σà╖Φ║½µÖ║Φâ╜µ£║σÖ¿Σ║║' fp () cands []
'iER10-2010-HI' fp (10, 2010) cands []
'iER10-900-MI' fp (10, 900) cands ['ER10B-900-MI']
'iER100-3000' fp (100, 3000) cands ['ER100B-3000']
'iER100-3500-DW' fp (100, 3500) cands ['ER100B-3500-DW']
'iER12-1450-HW' fp (12, 1450) cands []
'iER12-1510' fp (12, 1510) cands ['ER12B-1510']
'iER12-2000-HW' fp (12, 2000) cands []
'iER130-3200' fp (130, 3200) cands ['ER130B-3200']
'iER15-1430-MI' fp (15, 1430) cands []
'iER160-3200' fp (160, 3200) cands ['ER160B-3200']
'iER170-2650' fp (170, 2650) cands ['ER170B-2650']
'iER20-1760' fp (20, 1760) cands ['ER20B-1760']
'iER20-850-SR-UNO' fp (20, 850) cands ['ER20C-850-SR-HI']
'iER220-2650' fp (220, 2650) cands ['ER220B-2650']
'iER220-2700' fp (220, 2700) cands []
'iER270-3100-DW' fp (270, 3100) cands []
'iER30-2700' fp (30, 2700) cands ['ER30B-2700']
'iER35-1810' fp (35, 1810) cands ['ER35B-1810']
'iER4-550-SR-U' fp (4, 550) cands ['ER4-550-MI']
'iER50-2100' fp (50, 2100) cands ['ER50B-2100', 'ER50B-2100-F']
'iER50-2700' fp (50, 2700) cands []
'iER6-500-SR' fp (6, 500) cands []
'iER6-600-SR' fp (6, 600) cands []
'iER6-700-SR' fp (6, 700) cands []
'iER70-2100' fp (70, 2100) cands ['ER70B-2100-LI']
