"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Fanuc","6954.T","36862725196","39.5032","Japan"
"2","Symbotic","SYM","25557854208","42.34","United States"
"3","KION Group","KGX.DE","6356025421","48.4731","Germany"
"4","UBTECH Robotics","9880.HK","5231594744","10.3925","China"
"5","Estun Automation","002747.SZ","4443760571","4.59162","China"
"6","Beijing Roborock Technology","688169.SS","4260016721","16.4314","China"
"7","THK Co.","6481.T","4199848022","37.4739","Japan"
"8","ATS Corporation","ATS","2616282368","26.97","Canada"
"9","Doosan Robotics","454910.KS","2570483058","39.6557","South Korea"
"10","Exail Technologies","EXA.PA","2403810207","141.636","France"
"11","Amano Corporation","6436.T","1648894078","23.8071","Japan"
"12","Kraken Robotics","PNG.V","1313384087","4.27569","Canada"
"13","PROCEPT BioRobotics","PRCT","1029092672","18.08","United States"
"14","Nachi-Fujikoshi","6474.T","674109035","30.9278","Japan"
"15","Serve Robotics","SERV","399924064","4.7","United States"
"16","Richtech Robotics","RR","321978208","1.44","United States"
"17","Palladyne AI","PDYN","238583344","5.05","United States"
"18","Stereotaxis","STXS","127524552","1.28","United States"
"19","Scott Technology","SCT.NZ","119129557","1.41659","New Zealand"
"20","AMC Robotics Corporation","AMCI","108005944","4.78","United States"
"21","Maytronics","MTRN.TA","64584824","0.588516","Israel"
"22","Mobilicom","MOB","59503176","4.71","Australia"
"23","Knightscope","KSCP","26222528","1.52","United States"
"24","Exyn Technologies","EXYN","19884892","2.5","United States"
"25","iRobot","IRBT","14843741","0.4664","United States"
"26","Guardforce AI","GFAI","9931382","0.3178","Singapore"
"27","Nauticus Robotics","KITT","5949583","0.8698","United States"
"28","Lifeward","LFWD","583724","0.3829","Israel"
"29","FBR Limited","FBR.AX","389553","0.00279642","Australia"
